customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,,,,,,,,,,,,
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ,Yes,21,,,,,,,,,,,,
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16,,,,,,,,,,,,
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12,,,,,,,,,,,,
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21,,,,,,,,,,,,
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19,,,,,,,,,,,,
30,Darrick,Helleckas,Male,18,1961-10-18,,IT,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,6,,,,,,,,,,,,
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,testâ testâ«,Yes,14,,,,,,,,,,,,
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,4,,,,,,,,,,,,
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,n/a,Affluent Customer,N,<script>alert('hi')</script>,Yes,11,,,,,,,,,,,,
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20,,,,,,,,,,,,
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16,,,,,,,,,,,,
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,n/a,Affluent Customer,N,"<>?:""{}|_+",No,22,,,,,,,,,,,,
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,16,,,,,,,,,,,,
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20,,,,,,,,,,,,
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22,,,,,,,,,,,,
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì,No,14,,,,,,,,,,,,
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16,,,,,,,,,,,,
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18,,,,,,,,,,,,
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,â°â´âµ,No,5,,,,,,,,,,,,
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17,,,,,,,,,,,,
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,åè£½æ¼¢èª,No,8,,,,,,,,,,,,
46,Kaila,Allin,Female,98,1972-02-26,,n/a,Affluent Customer,N,â°â´âµâââ,Yes,15,,,,,,,,,,,,
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2,,,,,,,,,,,,
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,n/a,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8,,,,,,,,,,,,
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,n/a,Affluent Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,1,,,,,,,,,,,,
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16,,,,,,,,,,,,
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18,,,,,,,,,,,,
52,Curran,Bentson,Male,57,1988-06-22,,Financial Services,Mass Customer,N,1-Feb,Yes,13,,,,,,,,,,,,
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,1.00E+00,No,16,,,,,,,,,,,,
54,Loralyn,Wonfor,Femal,2,1966-07-24,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18,,,,,,,,,,,,
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ,Yes,7,,,,,,,,,,,,
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,ã,Yes,4,,,,,,,,,,,,
57,Abba,Masedon,M,87,1988-06-13,Chief Design Engineer,n/a,Mass Customer,N,1.00E+02,Yes,13,,,,,,,,,,,,
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17,,,,,,,,,,,,
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,n/a,High Net Worth,N,-$ 1.00,No,3,,,,,,,,,,,,
60,Nadiya,Champerlen,Female,18,1970-02-04,,Manufacturing,Mass Customer,N,á,No,10,,,,,,,,,,,,
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,-1,No,13,,,,,,,,,,,,
62,Sorcha,Roggers,Female,38,1979-07-06,,IT,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,22,,,,,,,,,,,,
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,00ËÆ$-,Yes,16,,,,,,,,,,,,
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,ï¼ï¼ï¼,No,4,,,,,,,,,,,,
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,1/0,Yes,15,,,,,,,,,,,,
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,1,,,,,,,,,,,,
67,Vernon,,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18,,,,,,,,,,,,
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,n/a,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9,,,,,,,,,,,,
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,n/a,Mass Customer,N,0/0,No,6,,,,,,,,,,,,
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,ð,No,8,,,,,,,,,,,,
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,ï½ï½¨(Â´âï½â©,Yes,12,,,,,,,,,,,,
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,$ 1.00,Yes,16,,,,,,,,,,,,
73,Minette,Worters,Female,16,1960-05-27,Teacher,n/a,Affluent Customer,N,âââ,Yes,5,,,,,,,,,,,,
74,Pansy,Kiddie,Female,94,1969-06-19,,n/a,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,6,,,,,,,,,,,,
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,19,,,,,,,,,,,,
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,â¢,Yes,18,,,,,,,,,,,,
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7,,,,,,,,,,,,
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-1.00E+02,No,8,,,,,,,,,,,,
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18,,,,,,,,,,,,
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13,,,,,,,,,,,,
81,Bee,Blazewicz,Female,58,1986-09-04,,Health,High Net Worth,N,â¢,No,13,,,,,,,,,,,,
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,ç°ä¸,No,19,,,,,,,,,,,,
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,ðµ ð ð ð,Yes,18,,,,,,,,,,,,
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,n/a,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,14,,,,,,,,,,,,
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,n/a,Mass Customer,N,NIL,No,8,,,,,,,,,,,,
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,1,Yes,7,,,,,,,,,,,,
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,N,"__ï¾(,_,*)",No,8,,,,,,,,,,,,
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Ù¡Ù¢Ù£,Yes,7,,,,,,,,,,,,
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14,,,,,,,,,,,,
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11,,,,,,,,,,,,
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,17,,,,,,,,,,,,
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,âââ,No,12,,,,,,,,,,,,
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,N,0/0,Yes,10,,,,,,,,,,,,
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,21,,,,,,,,,,,,
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ,Yes,8,,,,,,,,,,,,
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,åè£½æ¼¢èª,No,15,,,,,,,,,,,,
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10,,,,,,,,,,,,
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,,No,7,,,,,,,,,,,,
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì,No,3,,,,,,,,,,,,
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,4,,,,,,,,,,,,
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11,,,,,,,,,,,,
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ,No,16,,,,,,,,,,,,
103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,4,,,,,,,,,,,,
104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,1;DROP TABLE users,Yes,9,,,,,,,,,,,,
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1,,,,,,,,,,,,
106,Glyn,,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,ãã¼ãã£ã¼ã¸è¡ããªãã,Yes,18,,,,,,,,,,,,
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,ï½ï½¨(Â´âï½â©,Yes,9,,,,,,,,,,,,
108,Kayle,Mingaud,Female,4,1994-03-14,,n/a,High Net Worth,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,3,,,,,,,,,,,,
109,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,n/a,Affluent Customer,N,1.00E+02,Yes,4,,,,,,,,,,,,
110,Sascha,St. Quintin,Male,23,2000-07-31,,Financial Services,Affluent Customer,N,TÌÌ,No,1,,,,,,,,,,,,
111,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,n/a,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,2,,,,,,,,,,,,
112,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,12,,,,,,,,,,,,
113,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,n/a,Mass Customer,N,(ï½¡â â âï½¡),No,20,,,,,,,,,,,,
114,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,-1.00E+02,No,8,,,,,,,,,,,,
115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,N,null,No,18,,,,,,,,,,,,
116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,2,,,,,,,,,,,,
117,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,TÌÌ,No,15,,,,,,,,,,,,
118,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,n/a,High Net Worth,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,19,,,,,,,,,,,,
119,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,n/a,High Net Worth,N,,Yes,9,,,,,,,,,,,,
120,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,â°â´âµ,Yes,4,,,,,,,,,,,,
121,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,é¨è½æ ¼,No,15,,,,,,,,,,,,
122,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,12,,,,,,,,,,,,
123,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,1.00E+96,No,15,,,,,,,,,,,,
124,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,ç°ä¸,Yes,5,,,,,,,,,,,,
125,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,No,16,,,,,,,,,,,,
126,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,3,,,,,,,,,,,,
127,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,No,19,,,,,,,,,,,,
128,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,á ,Yes,12,,,,,,,,,,,,
129,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,"__ï¾(,_,*)",Yes,19,,,,,,,,,,,,
130,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,-1.00E+02,No,1,,,,,,,,,,,,
131,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,"×Ö¼Ö°×¨Öµ××©×Ö´××ª, ×Ö¼Ö¸×¨Ö¸× ×Ö±×Ö¹×Ö´××, ×Öµ×ª ×Ö·×©Ö¼×Ö¸×Ö·×Ö´×, ×Ö°×Öµ×ª ×Ö¸×Ö¸×¨Ö¶×¥",No,8,,,,,,,,,,,,
132,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,9,,,,,,,,,,,,
133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,",./;'[]\-=",Yes,16,,,,,,,,,,,,
134,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,5,,,,,,,,,,,,
135,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,3,,,,,,,,,,,,
136,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),Yes,7,,,,,,,,,,,,
137,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,1'; DROP TABLE users--,No,10,,,,,,,,,,,,
138,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,13,,,,,,,,,,,,
139,Gar,,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,-1.00E+02,No,4,,,,,,,,,,,,
140,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,1/0,No,2,,,,,,,,,,,,
141,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,10,,,,,,,,,,,,
142,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,No,17,,,,,,,,,,,,
143,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,N,ðµ ð ð ð,Yes,11,,,,,,,,,,,,
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,,No,,,,,,,,,,,,,
145,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,NIL,No,4,,,,,,,,,,,,
146,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,8,,,,,,,,,,,,
147,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,ð¾ ð ð ð ð ð ð ð,Yes,10,,,,,,,,,,,,
148,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,n/a,Mass Customer,N,ç°ä¸,Yes,5,,,,,,,,,,,,
149,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,N,1/0,Yes,1,,,,,,,,,,,,
150,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,17,,,,,,,,,,,,
151,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,13,,,,,,,,,,,,
152,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,00ËÆ$-,No,16,,,,,,,,,,,,
153,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,12,,,,,,,,,,,,
154,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,n/a,Mass Customer,N,,No,11,,,,,,,,,,,,
155,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ,No,10,,,,,,,,,,,,
156,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,TÌÌ,Yes,11,,,,,,,,,,,,
157,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,1.00E+02,No,16,,,,,,,,,,,,
158,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,n/a,Affluent Customer,N,1.00E+02,No,5,,,,,,,,,,,,
159,Arin,Matskevich,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,ã»(ï¿£âï¿£)ã»:*:,No,13,,,,,,,,,,,,
160,Wake,Durning,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ,No,18,,,,,,,,,,,,
161,Tadd,Bloss,Male,49,1976-01-21,,n/a,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16,,,,,,,,,,,,
162,Port,Acuna,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,Ù¡Ù¢Ù£,No,15,,,,,,,,,,,,
163,Kessia,Helder,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Ù¡Ù¢Ù£,Yes,14,,,,,,,,,,,,
164,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,NIL,Yes,1,,,,,,,,,,,,
165,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Ù¡Ù¢Ù£,Yes,12,,,,,,,,,,,,
166,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,â¢,No,6,,,,,,,,,,,,
167,Nathalie,Tideswell,Female,95,1969-10-27,,Health,High Net Worth,N,-1,Yes,17,,,,,,,,,,,,
